Timestamp,Raindrops on roses,Whiskers on kittens,Bright copper kettles,Warm woollen mittens,Brown paper packages tied up with string,Cream-colored ponies,Crisp apple strudels,Doorbells,Sleighbells,Schnitzel with noodles,Wild geese that fly with the moon on their wings,Girls in white dresses with blue satin sashes,Snowflakes that stay on my nose and eyelashes,Silver-white winters that melt into springs,How old are you?,How many children were in The Sound of Music von Trapp family?,What was the name of the youngest child?,How many of the children were boys?,How many times have you seen The Sound of Music?,The name of Captain von Trapp's housekeeper was...,The movie is set in...,Score
2019-11-02T20:57:53Z,5,3,4,2,4,4,6,2,2,6,2,4,5,3,42,7,Gretl,2,17,Fraulein Schmidt,Austria,5
2019-11-03T08:51:13Z,6,6,4,4,4,3,7,4,4,3,1,3,1,4,32,7,Gretl,2,2,Fraulein Schräder,Austria,4
2019-11-03T08:58:46Z,4,7,6,3,1,1,6,1,2,6,3,6,5,2,31,7,Liesl,3,3,Fraulein Zeller,Austria,2
2019-11-03T09:02:44Z,5,7,3,1,3,3,5,3,2,1,3,4,7,5,25,7,Liesl,2,1,Fraulein Schräder,Austria,3
2019-11-03T09:11:26Z,7,7,5,6,7,2,7,3,5,4,5,2,4,5,28,7,Gretl,2,10,Fraulein Schräder,Austria,4
2019-11-03T10:06:54Z,5,4,3,7,5,3,7,3,6,1,5,2,7,7,34,7,Gretl,2,4,Fraulein Schmidt,Austria,5
2019-11-03T10:23:56Z,6,6,5,7,7,6,4,2,6,4,7,6,6,7,39,7,Gretl,2,25,Fraulein Schmidt,Austria,5
2019-11-03T11:47:23Z,5,3,4,6,1,2,5,4,4,5,6,4,4,5,43,8,Gretl,4,4,Fraulein Schmidt,Austria,3
2019-11-03T12:18:42Z,5,7,4,5,6,2,7,1,1,4,6,6,3,3,50,9,Liesl,4,0,Fraulien Gelber,Austria,1
2019-11-03T13:00:10Z,3,5,2,6,2,5,4,3,4,5,2,6,3,1,8,9,Marta,3,1,Fraulein Schräder,France,0
2019-11-03T13:03:27Z,1,7,4,7,1,1,1,7,4,1,1,7,5,1,5,9,Marta,3,0,Fraulein Schräder,France,0
2019-11-03T13:07:57Z,7,3,5,6,7,3,7,2,2,4,5,5,7,7,24,7,Marta,3,50,Fraulein Schmidt,Austria,3
2019-11-03T13:15:32Z,5,7,5,3,5,2,2,3,5,2,3,6,5,6,20,7,Gretl,2,2,Fraulein Schmidt,Austria,5
2019-11-03T13:32:25Z,6,4,3,6,7,4,5,1,2,2,4,4,6,7,21,8,Liesl,3,0,Fraulein Schräder,Austria,1
2019-11-03T13:47:56Z,5,7,2,2,6,6,6,1,3,7,5,4,7,6,44,7,Gretl,2,50,Fraulein Schmidt,Austria,5
2019-11-03T13:48:21Z,6,6,6,6,4,2,7,2,2,1,6,2,5,6,23,6,Gretl,3,0,Fraulien Gelber,Switzerland,1
2019-11-03T13:49:27Z,5,7,3,2,5,3,5,1,4,4,5,4,6,4,40,7,Gretl,3,3,Fraulein Zeller,Austria,3
2019-11-03T13:50:15Z,7,7,3,5,5,7,7,2,6,5,4,5,7,7,8,7,Gretl,2,4,Fraulein Schräder,Switzerland,3
2019-11-03T13:50:22Z,6,7,4,7,4,5,6,3,3,5,6,6,6,6,41,7,Brigitta,3,3,Fraulein Schmidt,Austria,3
2019-11-03T13:50:34Z,7,7,3,5,5,7,7,2,6,5,4,5,7,7,8,7,Gretl,2,4,Fraulein Schräder,Switzerland,3
2019-11-03T13:53:51Z,4,5,3,5,6,5,7,3,5,3,4,4,5,6,41,7,Brigitta,3,3,Fraulein Zeller,Austria,2
2019-11-03T13:54:19Z,5,7,4,6,4,5,3,3,3,3,5,5,4,5,25,9,Brigitta,2,0,Fraulein Zeller,France,1
2019-11-03T13:57:59Z,7,7,7,7,7,7,5,4,6,4,7,4,5,5,41,7,Gretl,2,30,Fraulein Schmidt,Austria,5
