Timestamp,Raindrops on roses,Whiskers on kittens,Bright copper kettles,Warm woollen mittens,Brown paper packages tied up with string,How old are you?,How many times have you seen The Sound of Music?,Score
2019-11-02T20:57:53Z,5,3,4,2,4,42,17,5
2019-11-03T08:51:13Z,6,6,4,4,4,32,2,4
2019-11-03T08:58:46Z,4,7,6,3,1,31,3,2
2019-11-03T09:02:44Z,5,7,3,1,3,25,1,3
2019-11-03T09:11:26Z,7,7,5,6,7,28,10,4
2019-11-03T10:06:54Z,5,4,3,7,5,34,4,5
2019-11-03T10:23:56Z,6,6,5,7,7,39,25,5
2019-11-03T11:47:23Z,5,3,4,6,1,43,4,3
2019-11-03T12:18:42Z,5,7,4,5,6,50,0,1
2019-11-03T13:00:10Z,3,5,2,6,2,8,1,0
2019-11-03T13:03:27Z,1,7,4,7,1,5,0,0
2019-11-03T13:07:57Z,7,3,5,6,7,24,50,3
2019-11-03T13:15:32Z,5,7,5,3,5,20,2,5
2019-11-03T13:32:25Z,6,4,3,6,7,21,0,1
2019-11-03T13:47:56Z,5,7,2,2,6,44,50,5
2019-11-03T13:48:21Z,6,6,6,6,4,23,0,1
2019-11-03T13:49:27Z,5,7,3,2,5,40,3,3
2019-11-03T13:50:15Z,7,7,3,5,5,8,4,3
2019-11-03T13:50:22Z,6,7,4,7,4,41,3,3
2019-11-03T13:50:34Z,7,7,3,5,5,8,4,3
2019-11-03T13:53:51Z,4,5,3,5,6,41,3,2
2019-11-03T13:54:19Z,5,7,4,6,4,25,0,1
2019-11-03T13:57:59Z,7,7,7,7,7,41,30,5
2019-11-03T13:58:07Z,5,7,7,7,7,NA,1,3
2019-11-03T14:03:02Z,6,7,2,5,2,29,2,4
2019-11-03T14:04:09Z,3,7,1,7,7,49,1,1
2019-11-03T14:05:57Z,5,7,2,6,6,40,0,2
2019-11-03T14:17:59Z,5,1,5,7,5,38,0,2
2019-11-03T14:19:03Z,5,7,4,7,7,45,12,4
2019-11-03T14:27:36Z,2,4,3,5,6,40,20,2
2019-11-03T14:37:50Z,7,5,6,1,7,38,3,2
2019-11-03T14:40:30Z,6,3,3,5,7,24,10,5
2019-11-03T14:41:13Z,5,1,4,7,7,65,4,2
2019-11-03T14:41:58Z,5,5,6,5,7,20,0,1
2019-11-03T14:42:43Z,6,6,6,6,4,35,2,2
2019-11-03T14:50:39Z,5,3,1,3,1,41,150,4
2019-11-03T14:54:53Z,3,6,3,6,7,37,20,3
2019-11-03T14:59:11Z,3,6,3,6,7,37,20,3
2019-11-03T14:59:34Z,7,1,5,5,7,66,5,2
